date,regime_id,regime_name,confidence
2020-12-07,0,Euphoria,0.9999999997780833
2020-12-08,0,Euphoria,0.9999999896626832
2020-12-09,0,Euphoria,0.9999999999781721
2020-12-10,0,Euphoria,0.9999999989904609
2020-12-11,0,Euphoria,0.9999999994270183
2020-12-14,0,Euphoria,0.999999999998181
2020-12-15,0,Euphoria,0.9999999999745341
2020-12-16,0,Euphoria,0.9999999873725756
2020-12-17,0,Euphoria,0.9999999991032382
2020-12-18,0,Euphoria,0.9999999997744453
2020-12-21,0,Euphoria,0.9999999995688995
2020-12-22,0,Euphoria,0.9999999979681888
2020-12-23,0,Euphoria,0.9999999987576302
2020-12-24,0,Euphoria,0.9999999992778612
2020-12-28,0,Euphoria,0.9999999980955181
2020-12-29,0,Euphoria,0.999999996050974
2020-12-30,0,Euphoria,0.9999999892916094
2020-12-31,0,Euphoria,0.9999999989577191
2021-01-04,0,Euphoria,0.9999999992905941
2021-01-05,0,Euphoria,0.9999999704996303
2021-01-06,0,Euphoria,0.9999999973624654
2021-01-07,0,Euphoria,0.9999999822794053
2021-01-08,0,Euphoria,0.9999999995088729
2021-01-11,0,Euphoria,0.999999999998181
2021-01-12,0,Euphoria,0.9999999895971996
2021-01-13,0,Euphoria,0.999999995712642
2021-01-14,0,Euphoria,0.9999999997653504
2021-01-15,0,Euphoria,0.9999999983119778
2021-01-19,0,Euphoria,0.9999999893916538
2021-01-20,0,Euphoria,0.9999999860756361
2021-01-21,0,Euphoria,0.999999999994543
2021-01-22,0,Euphoria,1.0
2021-01-25,0,Euphoria,0.9999999999126885
2021-01-26,0,Euphoria,0.9999999998581188
2021-01-27,0,Euphoria,0.9999996221395836
2021-01-28,2,Capitulation,0.999999999994543
2021-01-29,2,Capitulation,0.9997987150515589
2021-02-01,2,Capitulation,0.9999717019311376
2021-02-02,2,Capitulation,0.9849649451071398
2021-02-03,0,Euphoria,0.9979404309203304
2021-02-04,0,Euphoria,0.9999999999145075
2021-02-05,0,Euphoria,0.999999999998181
2021-02-08,0,Euphoria,1.0
2021-02-09,0,Euphoria,1.0
2021-02-10,0,Euphoria,0.999999999992724
2021-02-11,0,Euphoria,0.9999999994743121
2021-02-12,0,Euphoria,1.0
2021-02-16,0,Euphoria,1.0
2021-02-17,0,Euphoria,0.9999999999381544
2021-02-18,0,Euphoria,0.999999999990905
2021-02-19,0,Euphoria,0.9999999997362465
2021-02-22,0,Euphoria,1.0
2021-02-23,0,Euphoria,0.9999999999818101
2021-02-24,0,Euphoria,0.9999999995179678
2021-02-25,0,Euphoria,0.9999999998781277
2021-02-26,0,Euphoria,0.9881397819132755
2021-03-01,0,Euphoria,0.9950059019038758
2021-03-02,0,Euphoria,0.9896714783458399
2021-03-03,0,Euphoria,0.9999608125729146
2021-03-04,0,Euphoria,0.9999765699574732
2021-03-05,0,Euphoria,0.9996336743117662
2021-03-08,0,Euphoria,0.9992458377480935
2021-03-09,0,Euphoria,0.9999546730773763
2021-03-10,0,Euphoria,0.9999204628038849
